dataset,feature_strategy,model,fold,accuracy,precision,recall,f1,roc_auc
A_Full_ALSvsHC,Full_214_LASSO,QNN,4,0.6333333333333333,0.47058823529411764,0.8,0.5925925925925926,0.675
A_Full_ALSvsHC,Full_214_LASSO,QNN,5,0.4666666666666667,0.3125,0.5,0.38461538461538464,0.45000000000000007
A_Full_ALSvsHC,Full_214_LASSO,QNN,6,0.5806451612903226,0.42857142857142855,0.5454545454545454,0.48,0.5477272727272727
A_Full_ALSvsHC,Full_214_LASSO,QNN,7,0.45161290322580644,0.3333333333333333,0.7,0.45161290322580644,0.41666666666666663
A_Full_ALSvsHC,Full_214_LASSO,QNN,8,0.5161290322580645,0.38095238095238093,0.8,0.5161290322580645,0.5904761904761905
A_Full_ALSvsHC,Full_214_LASSO,QNN,9,0.4,0.3,0.6,0.4,0.425
A_Full_ALSvsHC,Full_214_LASSO,QNN,10,0.4,0.3,0.6,0.4,0.45000000000000007
A_Full_ALSvsHC,Full_214_LASSO,QNN,11,0.6774193548387096,0.5294117647058824,0.8181818181818182,0.6428571428571429,0.7090909090909092
A_Full_ALSvsHC,Full_214_LASSO,QNN,12,0.2903225806451613,0.22727272727272727,0.5,0.3125,0.2952380952380952
A_Full_ALSvsHC,Full_214_LASSO,QNN,13,0.6451612903225806,0.45454545454545453,0.5,0.47619047619047616,0.6071428571428571
A_Full_ALSvsHC,Full_214_LASSO,QNN,14,0.3333333333333333,0.2222222222222222,0.4,0.2857142857142857,0.35
A_Full_ALSvsHC,Full_214_LASSO,QNN,15,0.5333333333333333,0.4,0.8,0.5333333333333333,0.6000000000000001
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,1,0.5806451612903226,0.25,0.09090909090909091,0.13333333333333333,0.40909090909090906
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,2,0.5806451612903226,0.3333333333333333,0.3,0.3157894736842105,0.4095238095238095
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,3,0.6774193548387096,0.5,0.1,0.16666666666666666,0.6047619047619048
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,4,0.7333333333333333,0.75,0.3,0.42857142857142855,0.645
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,5,0.7666666666666667,0.8,0.4,0.5333333333333333,0.645
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,6,0.6451612903225806,0.5,0.45454545454545453,0.47619047619047616,0.6
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,7,0.6451612903225806,0.4,0.2,0.26666666666666666,0.6000000000000001
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,8,0.7741935483870968,1.0,0.3,0.46153846153846156,0.49047619047619045
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,9,0.6,0.375,0.3,0.3333333333333333,0.55
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,10,0.5666666666666667,0.2857142857142857,0.2,0.23529411764705882,0.515
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,11,0.5806451612903226,0.375,0.2727272727272727,0.3157894736842105,0.4590909090909091
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,12,0.7096774193548387,0.6666666666666666,0.2,0.3076923076923077,0.5190476190476191
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,13,0.4838709677419355,0.0,0.0,0.0,0.4428571428571428
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,14,0.5666666666666667,0.38461538461538464,0.5,0.43478260869565216,0.585
A_Full_ALSvsHC,Curated_Pool_LASSO,QSVM,15,0.5666666666666667,0.0,0.0,0.0,0.41000000000000003
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,1,0.41935483870967744,0.29411764705882354,0.45454545454545453,0.35714285714285715,0.47500000000000003
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,2,0.3870967741935484,0.2631578947368421,0.5,0.3448275862068966,0.5142857142857143
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,3,0.3870967741935484,0.2631578947368421,0.5,0.3448275862068966,0.4976190476190476
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,4,0.6333333333333333,0.46153846153846156,0.6,0.5217391304347826,0.635
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,5,0.5,0.14285714285714285,0.1,0.11764705882352941,0.265
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,6,0.5483870967741935,0.42105263157894735,0.7272727272727273,0.5333333333333333,0.5704545454545454
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,7,0.6129032258064516,0.4444444444444444,0.8,0.5714285714285714,0.7571428571428571
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,8,0.5161290322580645,0.2222222222222222,0.2,0.21052631578947367,0.3738095238095238
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,9,0.6333333333333333,0.45454545454545453,0.5,0.47619047619047616,0.61
A_Full_ALSvsHC,Curated_Pool_LASSO,VQC,10,0.6333333333333333,0.47058823529411764,0.8,0.5925925925925926,0.6625000000000001
